class,aspect,domain,status,oracle,linkage_doc,note
C3DPlayer,free-roam-feel,player movement,linked-blocked,,docs/decomp/C3DPlayer.md,"Target 3 recovered the movement/action L1 bodies for UpdateGroundMoveA (00437c40), UpdateJumpFallMove (00437f90), UpdateWalkingCameraA/B (00438bc0/00439900), SetPlayerAnimationState (0043aff0), and the remaining C3DPlayer raw helper list; see docs/decomp/evidence/c3dplayer_movement_target3.md. The recovered bodies pin the real walk-speed accumulator/clamps, turn-rate clamps, jump/fall phase state, camera smoothing, scratch/action animation randomization, fence/ladder setup, load handoff, and ray/probe helpers. The row remains linked-blocked because L2 fails by design: native behavior_player.c is the approved tank-turn movement, and movement_base.c is a tuned approximation, not a 1:1 port. Certifying player movement requires a product/native-port decision to replace the approved movement with the recovered state machine, then an input-trace oracle plus mutation test. 2026-07-02 follow-up: the walking-camera half of UpdateWalkingCameraA/B -- the DAT_00509a50 record write -- is now interpreted (docs/decomp/evidence/walking_camera_record_write.md), ported (camera_record_walkcam_write), and certified as the separate C3DPlayer/walking-camera-record row; the movement half stays blocked as described."
C3DGoddard,texture-uv,animation / actor pose,linked-blocked,,docs/decomp/C3DGoddard.md,Goddard texture/UV correctness is an art-fidelity issue with no headless oracle; needs capture/original comparison on native-port.
C3DCindy,location-pathing,AI / pathing,linked-blocked,,docs/decomp/C3DCindy.md,Cindy's correct location/patrol state is unresolved and requires original-game or capture evidence; do not guess. Returns to native-port.
C3DSoundEffect,by-ear-mix,triggers / story sequencing,linked-blocked,,docs/decomp/C3DSoundEffect.md,Audio timbre/mix/by-ear correctness needs desktop/noVNC listening; the dispatch/trigger LOGIC is separately linkable. Returns to native-port.
C3DCarl,vehicle-rider-pose,vehicles / special movement,linked-blocked,,docs/decomp/C3DCarl.md,Carl's vehicle insertion pose/offset needs decomp proof or capture evidence; the vehicle integrator MATH is separately linkable. Returns to native-port.
CTaskList,tsk-deserialization,progression / objectives,linked,tools/linkage_oracles/CTaskList.py,docs/decomp/CTaskList.md,
CLoadLevel,gam-deserialization,progression / objectives,linked,tools/linkage_oracles/CLoadLevel.py,docs/decomp/CLoadLevel.md,
CTaskList,set-task-state,progression / objectives,linked,tools/linkage_oracles/CTaskList_set_task_state.py,docs/decomp/CTaskList.md,
C3DAnimated,ase-deserialization,animation / actor pose,linked-blocked,,docs/decomp/C3DAnimated.md,"ase_loader.c parses this project's own OMT->ASE exporter output (PROJECT_HISTORY.md Era 2 -- OMT->ASE exporter), not a Neutron.exe binary format -- no decompiled body exists to certify against (L1 unsatisfiable). The original binary mesh format is OMT/3DSP, already decoded and settled (docs/omt_3dsp_format.md); diffing ase_loader.c against tools/ase_parser.py would only prove two readers of this project's own re-export format agree with each other, which the plan excludes as self-comparing. Mesh/pose/texture visual correctness is the real faithfulness question and needs by-eye comparison. Returns to native-port."
C3DAnimated,event-animation-dispatch,animation / actor pose,linked-blocked,,docs/decomp/C3DAnimated.md,"Target 7 function-defined and dumped the C3DAnimated event-to-animation cluster (docs/decomp/evidence/c3danimated_target7.md): UpdateAnimated (0040e050), SetAnim3DByName (0040dd90), CreateAnim3DRecord (0040d4a0), InitAnim3DDatabase (0040e270), and raw helper targets 0040e1f0/0040d9e0/0040da30/0040dab0/0040db10/0040df80/0040e3e0/0040d350. L1 pins the original OMedia animation-record dispatcher and last-frame path: base C3DAnimated calls vtable-4 slot 65 when the selected clip reaches its cached last frame, base slot 65 is shared no-op/thunk 00472970, and C3DPlayer consumes the event by overriding the slot at 0043a900 (OnPlayerAnimEnded). OMT 2.5 source resolved the embedded OMediaAnim layout, confirming play_loop as the completion gate, float-millisecond frame walking, same-record reselect semantics, and the no-latch re-fire behavior. The native module in src/game/animated_dispatch.c/h is covered by tools/linkage_oracles/C3DAnimated_dispatch.py. 2026-07-03 runtime wiring now reaches it from behavior_animated_update_base, cutscene actor selection, player_anim entity records, FENCE/LADDER/SPLAT/HIT AnimEnded-to-STOP completion, and existing projectile/Yokian/Tesla damage paths that enter HIT/SPLAT; tools/linkage_oracles/C3DAnimated_runtime.py mutation-tests those wiring points. The row still stays linked-blocked because live record frame counts/timing come from native/exported ASE AseModel metadata rather than recovered original A3dm sequence/import data, and faithful FENCE entry still needs original collision material/probe data and restore-transform behavior."
C3DCutSceneCamera,3cam-camera-math,camera / cutscene,linked,tools/linkage_oracles/C3DCutSceneCamera.py,docs/decomp/C3DCutSceneCamera.md,
C3DMultiCutSceneCamera,3mca-offset-table,camera / cutscene,linked,tools/linkage_oracles/C3DMultiCutSceneCamera.py,docs/decomp/C3DMultiCutSceneCamera.md,
C3DCutSceneCamera,3cam-full-placement,camera / cutscene,linked,tools/linkage_oracles/C3DCutSceneCamera.py,docs/decomp/C3DCutSceneCamera.md,"Ported the recovered transform_local_00472980 path into behavior_cutscene.c as entity_transform_local: target-local offsets now use all three target rotations, the original 14-bit trig index scale, and the native PositionZ handedness conversion before 3CAM orbit/dolly placement. The expanded C3DCutSceneCamera oracle checks all 136 shipped rows for distance/static precedence and verifies full orbit/dolly placement over resolved real non-static 3CAM CameraTarget rows plus synthetic non-zero rotation cases (351 full-placement checks). Mutation tested: flipping the native helper final z sign makes the oracle red, and restoring it returns green."
C3DMultiCutSceneCamera,3mca-full-placement,camera / cutscene,linked,tools/linkage_oracles/C3DMultiCutSceneCamera.py,docs/decomp/C3DMultiCutSceneCamera.md,"Ported the recovered transform_local_00472980 path into behavior_cutscene.c as entity_transform_local and routed the 3MCA CameraTypeN local offset through it in cutscene_update. The expanded C3DMultiCutSceneCamera oracle keeps the byte-exact in-range CameraTypeN table check (906 entries x 6 t samples) and verifies full world placement plus look point over resolved real in-range 3MCA steps plus synthetic non-zero rotation cases (1053 full-placement checks). The 6 out-of-table CameraTypeN values remain excluded because the recovered jump table only proves 0..4. Mutation tested: flipping the native helper final z sign makes the oracle red, and restoring it returns green."
CJimmyGame,initgame-seed,progression / objectives,linked,tools/linkage_oracles/CJimmyGame.py,docs/decomp/CJimmyGame.md,
C3DStartPoint,spawn,progression / objectives,linked,tools/linkage_oracles/C3DStartPoint.py,docs/decomp/C3DStartPoint.md,
C3DCheckPoint,progress,progression / objectives,linked-blocked,,docs/decomp/C3DCheckPoint.md,"Native vt_checkpoint (behavior_checkpoint.c) is a deliberate simplification, not a port of the decompiled UpdateCheckPoint (00414410): its own comment says it matches the original's checkpoint-progression FEEL via last-touched-wins respawn relocation, with no FINISHLINE check, race-timer gate (DAT_004eefc8), finish call (FUN_004073b0), or HUD time draw. Same shape as CJimmyGame's win-bridge exclusion: a working native behavior the project chose not to make 1:1 with the recovered body, so there is no fidelity claim to certify. Porting the actual FINISHLINE/race-timer mechanism is real behavior-porting work, out of scope for a linkage-certification pass. Returns to native-port."
C3DPatrolPoint,on-arrive,AI / pathing,linked,tools/linkage_oracles/C3DPatrolPoint.py,docs/decomp/C3DPatrolPoint.md,
C3DAITrigger,dispatch-graph,triggers / story sequencing,linked,tools/linkage_oracles/C3DAITrigger.py,docs/decomp/C3DAITrigger.md,
C3DPickupItem,collection,progression / objectives,linked,tools/linkage_oracles/C3DPickupItem.py,docs/decomp/C3DPickupItem.md,"Opened by the picture-flag economy port (docs/picture_flag_wiring_plan.md phases 2-4). item_on_trigger is no longer a simplification: it runs HandlePickupCollection's (00435ce0) recovered order -- CheckRequiredPicAndConsume (vtable 3 slot 54, 00436830) BEFORE the collected-state check, then the DAT_004f8438 write, then ActivateObject/ToggleObject through the target's state slot (vtable offset 0x428) with the authored Toggle, then the PIC_NUMBER and PointValue award, then NextTrigger, then the sound. The state table is keyed on (level, PickupIndex) because 22 indices collide across levels, and it is read at load time by the PostLoadPickupItem (00436200) half as well as written on collection. SetPickupItemState (004360b0) states 0 and 1 are ported, which is what makes the twelve authored vending-machine pairs work. tools/linkage_oracles/C3DPickupItem.py drives the real, unmodified item_on_trigger over all 383 shipped 3PIC rows and diffs the whole ordered event sequence, the consume-or-refuse arithmetic, the NeedMoreSound refusal path and the InitallyActive load gate against expectations derived from the recovered bodies and each row's own authored properties. Mutation tested (--selftest): swapping the gate and the collected-state check, moving the award ahead of the side-effect dispatch, or consuming on a refusal each turn it red. Two real defects were found by the oracle while building it: gam_loader.c mapped a property named Points that no shipped level authors (the field is PointValue, 0x620), so no pickup had ever scored; and the award tested truthiness, so rows authoring the format's -1 unset scored minus one point. Documented exclusions, unchanged from the class doc: PickedUpIndex's replacement-sprite swap (native hides), TimesToTrigger/trigger_count repeat limiting (native latches once-only), IsAmbient/UpdateAmbientPickupSound, PassThru and ShowArrow (no isolated consumer in the decomp either), the state slot on every class except the pickup family -- so non-3PIC ActivateObject/ToggleObject targets and all NextTrigger targets resolve but find no native body -- and the sound mix, of which only the sequence position is certified. Whether the original also hides an InitallyActive=0 pickup is unrecovered and deliberately not claimed: asserting it changed the level1 golden."
CTrigger,enter-exit-latch,triggers / story sequencing,linked-blocked,,docs/decomp/CTrigger.md,"Target 5 resolved the family's identities and opened full L1 (docs/decomp/evidence/triggertype_trigger_target5.md). TRIG's RTTI is pinned: the TRIG factory FUN_0047dcf0 is the CTrigger constructor (installs the four CTrigger vftables, default tag CTRIGGER @004f6c38, class id 'TRIG' @0047de03), so TRIG = CTrigger; gam_schema.md updated. The recovered mechanism is complete: watched-list sphere latch with debounced enter (slot 21/0x54) and exit (slot 22/0x58) dispatch; trigger_radius is an owned unregistered float at base+0x5e8 (ctor default 10.0f) distinct from LightRange (+0x4b4), so the one shipped TRIG row's LightRange 1e+04 never reaches it; the only static caller of UpdateTrigger is the newly boundary-repaired CTriggerTimer (TRIT, zero shipped instances) and RegisterTarget (0047df30) has no static code caller at all, so no watcher is statically registered for the one placed TRIG. L2 still fails by design: native TRIG (behavior_trig.c vt_trig) is a deliberate one-shot log stub fired by the native engine's own AABB-overlap dispatch (src/engine/physics.c), which re-fires every overlapping frame and has no exit event, watched list, or sphere radius. No fidelity claim exists to certify; porting the watched-list/latched-edge mechanism is native-port behavior work. C3DTrigger/3TRI's inert native cascade is unchanged. Returns to native-port."
CMainMenu,level-routing-table,menus / UI flow,linked,tools/linkage_oracles/CMainMenu.py,docs/decomp/CMainMenu.md,
CGameType,initgame-camera-record-seed,progression / objectives,linked,tools/linkage_oracles/CGameType.py,docs/decomp/CGameType.md,"CGameType::InitGame (00474a10) writes DAT_00509a50 position to (0,10000,0). The native camera_record_init_game now mirrors only those recovered writes and preserves adjacent angle/mode fields. The oracle compiles the real camera_record.c, checks bit-exact values and repeat-call behavior from non-zero sentinels, and mutation-tests both a wrong Y seed and the previous adjacent-field over-reset. No shipped asset table feeds this lifecycle seed, so L3 uses decomp-derived vectors."
CGameType,pause-help-update-gates,menus / UI flow,linked-blocked,,docs/decomp/CGameType.md,"Fresh 9a2b908 evidence identifies PauseGame trace helper 00475a00, separate DAT_005099a9 writer 00475a30, UpdateGameType 00475a70, and ToggleHelp 00475ce0, but the committed L1 explicitly leaves DAT_005099a9 semantics, the update predicate producer, and help show/hide target slots 0x13c/0x140 unresolved. The workstation has no original executable/Ghidra project to deepen those bodies. Porting pause/input locks or help presentation from the current keyboard menu would guess behavior; recover those bodies first, then obtain original/capture evidence for the help layout."
CLoadLevel,activate-load,progression / objectives,linked-blocked,,docs/decomp/CLoadLevel.md,"ActivateLoad (00458370) is decoded -- hide the portal via slot 0xd8 and hand the +0x17a request block (LevelName/StartPoint/fade) to global game-object slot 0x100. Target 2 also recovered the missing contact/gate body at 00457ec0: Jimmy-only contact, RequiredTask lookup via FUN_0045fea0, RequiredLevel minimum, optional ExactLevel, special RETURN path, normal LevelName/StartPoint handoff, optional SoundIndex, and optional FadeType/FadeTime. The native path (behavior_load.c load_on_trigger + behavior_base.c gate helpers) is still a functional bridge, not a transcription: it forwards LevelName/StartPoint via gamestate_request_level_swap, adds a native fire-once latch, applies the gate at spawn/update as well as trigger time, has no RETURN branch, does not port the Jimmy handoff slots, and drops the original sound/fade request semantics. An oracle around the current native path would certify a different design, not the recovered body. Returns to native-port: port the recovered 00457ec0/00458370 semantics 1:1, then write the oracle. 2026-08-21: the gate half of 00457ec0 is now ported and certified as the separate CLoadLevel/contact-gate row; RETURN, the LevelName ""none"" refusal and the portal hide/handoff are ported too (see docs/decomp/CLoadLevel.md), but this row stays linked-blocked -- the sound/fade tail, the DAT_004f0588 mode switch, the player slots 0x178/0x11c/0x2c4 and ActivateLoad's own +0x17a request block through global slot 0x100 are still unported, and the RETURN departure pair's source is inferred from the handoff call shape rather than recovered."
